"source","target","weight","type"
"200","128",1.17391304347826,"undirected"
"201","128",1.17391304347826,"undirected"
"209","280",1.26086956521739,"undirected"
"209","352",1.26086956521739,"undirected"
"214","128",1.46739130434783,"undirected"
"218","128",1.78260869565217,"undirected"
"22","696",1.26086956521739,"undirected"
"226","128",1.16086956521739,"undirected"
"258","1",1.54565217391304,"undirected"
"258","128",1.52717391304348,"undirected"
"258","259",1.54492753623188,"undirected"
"258","261",1.55731225296443,"undirected"
"258","263",1.54347826086956,"undirected"
"259","1",1.54682274247492,"undirected"
"259","128",1.53452685421995,"undirected"
"259","258",1.54492753623188,"undirected"
"259","261",1.55869565217391,"undirected"
"259","262",1.53359683794466,"undirected"
"259","263",1.5527950310559,"undirected"
"26","128",1.01581027667984,"undirected"
"261","1",1.55954631379962,"undirected"
"261","258",1.55731225296443,"undirected"
"261","259",1.55869565217391,"undirected"
"261","263",1.55942028985507,"undirected"
"261","782",1.42533081285444,"undirected"
"261","895",1.52173913043478,"undirected"
"262","1",1.52717391304348,"undirected"
"262","128",1.54462242562929,"undirected"
"262","259",1.53359683794466,"undirected"
"263","1",1.55253623188406,"undirected"
"263","258",1.54347826086956,"undirected"
"263","259",1.5527950310559,"undirected"
"263","261",1.55942028985507,"undirected"
"268","197",1.33478260869565,"undirected"
"268","415",1.4180602006689,"undirected"
"28","1",1.37944664031621,"undirected"
"28","128",1.32173913043478,"undirected"
"28","280",1.12787723785166,"undirected"
"28","5",1.04347826086956,"undirected"
"28","555",0.987212276214834,"undirected"
"28","888",1.2554347826087,"undirected"
"280","128",1.175442429539,"undirected"
"280","15",1.56126482213439,"undirected"
"280","197",1.10755148741419,"undirected"
"280","209",1.26086956521739,"undirected"
"280","28",1.12787723785166,"undirected"
"280","281",0.855835240274599,"undirected"
"280","283",1.10613810741688,"undirected"
"280","301",1.56521739130435,"undirected"
"280","309",1.4901185770751,"undirected"
"280","327",1.39130434782609,"undirected"
"280","336",1.1304347826087,"undirected"
"280","352",1.26086956521739,"undirected"
"280","364",0.782608695652174,"undirected"
"280","374",0.782608695652174,"undirected"
"280","383",1,"undirected"
"280","391",1.55590062111801,"undirected"
"280","392",1.70652173913043,"undirected"
"280","394",1.70807453416149,"undirected"
"281","280",0.855835240274599,"undirected"
"283","128",1.01185770750988,"undirected"
"283","280",1.10613810741688,"undirected"
"290","135",2,"undirected"
"291","135",2,"undirected"
"292","135",2,"undirected"
"3","128",1.05978260869565,"undirected"
"3","561",1.2554347826087,"undirected"
"30","5",0.86231884057971,"undirected"
"301","128",1.56521739130435,"undirected"
"301","280",1.56521739130435,"undirected"
"301","302",1.56521739130435,"undirected"
"302","301",1.56521739130435,"undirected"
"309","128",1.46618357487923,"undirected"
"309","15",1.50310559006211,"undirected"
"309","280",1.4901185770751,"undirected"
"309","312",1.48447204968944,"undirected"
"309","318",1.46583850931677,"undirected"
"309","807",1.65942028985507,"undirected"
"309","888",1.66459627329193,"undirected"
"309","950",1.66459627329193,"undirected"
"312","309",1.48447204968944,"undirected"
"318","309",1.46583850931677,"undirected"
"32","555",1.33333333333333,"undirected"
"327","280",1.39130434782609,"undirected"
"336","128",1.1304347826087,"undirected"
"336","280",1.1304347826087,"undirected"
"34","555",1.65217391304348,"undirected"
"35","15",1.59627329192547,"undirected"
"35","5",1.55072463768116,"undirected"
"352","209",1.26086956521739,"undirected"
"352","280",1.26086956521739,"undirected"
"353","128",1.26086956521739,"undirected"
"353","354",1.26086956521739,"undirected"
"354","353",1.26086956521739,"undirected"
"364","128",0.782608695652174,"undirected"
"364","280",0.782608695652174,"undirected"
"368","128",0.782608695652174,"undirected"
"374","280",0.782608695652174,"undirected"
"383","280",1,"undirected"
"39","1",1.52173913043478,"undirected"
"39","42",1.52173913043478,"undirected"
"391","128",1.28985507246377,"undirected"
"391","197",1.16231884057971,"undirected"
"391","280",1.55590062111801,"undirected"
"391","392",1.70186335403727,"undirected"
"391","399",1.69565217391304,"undirected"
"391","540",1.68115942028985,"undirected"
"391","555",1.29855072463768,"undirected"
"391","561",1.68115942028985,"undirected"
"391","740",1.48296122209166,"undirected"
"391","742",1.42911153119093,"undirected"
"391","782",1.32608695652174,"undirected"
"392","128",1.70186335403727,"undirected"
"392","280",1.70652173913043,"undirected"
"392","391",1.70186335403727,"undirected"
"392","393",1.68115942028985,"undirected"
"392","399",1.69565217391304,"undirected"
"393","128",1.70652173913043,"undirected"
"393","392",1.68115942028985,"undirected"
"394","128",1.69565217391304,"undirected"
"394","280",1.70807453416149,"undirected"
"395","128",1.71428571428571,"undirected"
"396","536",1.83695652173913,"undirected"
"399","391",1.69565217391304,"undirected"
"399","392",1.69565217391304,"undirected"
"4","128",1.31521739130435,"undirected"
"400","128",1.71739130434783,"undirected"
"405","128",1.08695652173913,"undirected"
"407","128",1.08695652173913,"undirected"
"410","128",1.08695652173913,"undirected"
"410","413",1.08695652173913,"undirected"
"413","128",1.08695652173913,"undirected"
"413","410",1.08695652173913,"undirected"
"415","128",1.22173913043478,"undirected"
"415","197",1.25585284280936,"undirected"
"415","268",1.4180602006689,"undirected"
"42","1",1.52173913043478,"undirected"
"42","39",1.52173913043478,"undirected"
"422","423",1.1304347826087,"undirected"
"423","422",1.1304347826087,"undirected"
"425","555",1.21739130434783,"undirected"
"425","577",1.279176201373,"undirected"
"46","15",1.62111801242236,"undirected"
"46","47",1.5752508361204,"undirected"
"46","5",1.57142857142857,"undirected"
"462","15",1.69565217391304,"undirected"
"462","463",1.69565217391304,"undirected"
"463","15",1.69565217391304,"undirected"
"463","462",1.69565217391304,"undirected"
"465","122",1.69565217391304,"undirected"
"47","128",1.1207729468599,"undirected"
"47","46",1.5752508361204,"undirected"
"47","5",1.34347826086956,"undirected"
"47","555",1.29765886287625,"undirected"
"47","68",1.2695652173913,"undirected"
"473","128",1.69565217391304,"undirected"
"473","475",1.69565217391304,"undirected"
"473","58",1.69565217391304,"undirected"
"475","1",1.69565217391304,"undirected"
"475","128",1.69565217391304,"undirected"
"475","197",1.69565217391304,"undirected"
"475","473",1.69565217391304,"undirected"
"475","476",1.69565217391304,"undirected"
"475","888",1.43478260869565,"undirected"
"476","475",1.69565217391304,"undirected"
"479","197",1.69565217391304,"undirected"
"498","500",1.26086956521739,"undirected"
"5","1",1.16671465591707,"undirected"
"5","100",1.52173913043478,"undirected"
"5","101",1.10671936758893,"undirected"
"5","14",1.72173913043478,"undirected"
"5","15",1.52173913043478,"undirected"
"5","19",1.71936758893281,"undirected"
"5","2",0.973913043478261,"undirected"
"5","28",1.04347826086956,"undirected"
"5","30",0.86231884057971,"undirected"
"5","35",1.55072463768116,"undirected"
"5","46",1.57142857142857,"undirected"
"5","47",1.34347826086956,"undirected"
"5","54",1.09130434782609,"undirected"
"5","58",1.55242966751918,"undirected"
"5","71",1.04347826086956,"undirected"
"5","8",0.881987577639751,"undirected"
"5","85",0.823529411764706,"undirected"
"5","99",1.52173913043478,"undirected"
"500","498",1.26086956521739,"undirected"
"511","128",1.02835538752363,"undirected"
"533","128",1.1304347826087,"undirected"
"533","197",1.1304347826087,"undirected"
"536","396",1.83695652173913,"undirected"
"536","537",1.83229813664596,"undirected"
"537","536",1.83229813664596,"undirected"
"54","5",1.09130434782609,"undirected"
"540","128",1.85,"undirected"
"540","197",1.78804347826087,"undirected"
"540","391",1.68115942028985,"undirected"
"540","541",1.85714285714286,"undirected"
"540","542",1.8498023715415,"undirected"
"540","545",1.83913043478261,"undirected"
"540","555",1.57830308146897,"undirected"
"540","558",1.59735349716446,"undirected"
"540","561",1.56132381570409,"undirected"
"540","619",1.50621118012422,"undirected"
"540","740",1.6832298136646,"undirected"
"540","782",1.68599033816425,"undirected"
"541","128",1.85714285714286,"undirected"
"541","540",1.85714285714286,"undirected"
"541","542",1.85507246376812,"undirected"
"541","696",1.26086956521739,"undirected"
"542","128",1.8498023715415,"undirected"
"542","540",1.8498023715415,"undirected"
"542","541",1.85507246376812,"undirected"
"542","545",1.83333333333333,"undirected"
"544","197",1.85652173913043,"undirected"
"545","128",1.83478260869565,"undirected"
"545","197",1.83333333333333,"undirected"
"545","540",1.83913043478261,"undirected"
"545","542",1.83333333333333,"undirected"
"554","555",1.6231884057971,"undirected"
"555","134",0.826086956521739,"undirected"
"555","28",0.987212276214834,"undirected"
