"source","target","weight","type"
"1","1",756.521739130435,"undirected"
"1","101",17.6086956521739,"undirected"
"1","108",7.82608695652174,"undirected"
"1","115",32.9565217391304,"undirected"
"1","122",18.3913043478261,"undirected"
"1","128",212,"undirected"
"1","14",8.47826086956522,"undirected"
"1","15",87.6521739130435,"undirected"
"1","18",5.13043478260869,"undirected"
"1","184",7.8695652173913,"undirected"
"1","188",9.8695652173913,"undirected"
"1","19",15.4347826086956,"undirected"
"1","192",13.9130434782609,"undirected"
"1","194",5.8695652173913,"undirected"
"1","197",33.0434782608696,"undirected"
"1","2",75.7391304347826,"undirected"
"1","20",6.82608695652174,"undirected"
"1","200",10.5652173913043,"undirected"
"1","201",9.39130434782609,"undirected"
"1","210",6.95652173913043,"undirected"
"1","218",8.91304347826087,"undirected"
"1","24",5.34782608695652,"undirected"
"1","257",6.08695652173913,"undirected"
"1","258",30.9130434782609,"undirected"
"1","259",40.2173913043478,"undirected"
"1","260",6.08695652173913,"undirected"
"1","261",35.8695652173913,"undirected"
"1","262",12.2173913043478,"undirected"
"1","263",37.2608695652174,"undirected"
"1","268",5.08695652173913,"undirected"
"1","28",30.3478260869565,"undirected"
"1","280",8.39130434782609,"undirected"
"1","3",9.13043478260869,"undirected"
"1","39",12.1739130434783,"undirected"
"1","4",5.60869565217391,"undirected"
"1","40",7.60869565217391,"undirected"
"1","415",6.78260869565217,"undirected"
"1","42",15.2173913043478,"undirected"
"1","47",8.65217391304348,"undirected"
"1","475",11.8695652173913,"undirected"
"1","476",5.08695652173913,"undirected"
"1","5",176.173913043478,"undirected"
"1","54",9.8695652173913,"undirected"
"1","57",13.7391304347826,"undirected"
"1","58",29.3913043478261,"undirected"
"1","59",8.21739130434782,"undirected"
"1","61",5.26086956521739,"undirected"
"1","66",5.13043478260869,"undirected"
"1","68",10.4347826086956,"undirected"
"1","69",6.26086956521739,"undirected"
"1","71",8.34782608695652,"undirected"
"1","8",137.347826086957,"undirected"
"1","85",26.8695652173913,"undirected"
"10","10",19.7391304347826,"undirected"
"10","280",5.65217391304348,"undirected"
"10","283",7.04347826086956,"undirected"
"100","100",21.3043478260869,"undirected"
"100","5",13.695652173913,"undirected"
"100","99",16.7391304347826,"undirected"
"1001","1001",13,"undirected"
"1001","1002",6,"undirected"
"1001","1003",7,"undirected"
